y,Ux (sim),Ux (an),,,,
0.602,4.7402,60888.6537334568,,,,
0.603,4.7402,60836.5569788558,,,,
0.604,4.7402,60783.9519632344,,,,
0.605,4.7402,60730.8386865925,,,,
0.606,4.7402,60677.2171489301,,,,
0.607,4.7402,60623.0873502473,,,,
0.608,4.7402,60568.4492905439,,,,
0.609,4.7402,60513.30296982,,,,
0.61,4.7402,60457.6483880756,,,,
0.611,4.7402,60401.4855453107,,,,
0.612,4.7402,60344.8144415253,,,,
0.613,4.7402,60287.6350767195,,,,
0.614,4.7402,60229.9474508931,,,,
0.615,4.7402,60171.7515640462,,,,
0.616,4.7402,60113.0474161789,,,,
0.617,4.7402,60053.835007291,,,,
0.618,4.7402,59994.1143373827,,,,
0.619,4.7402,59933.8854064538,,,,
0.62,4.7402,59873.1482145045,,,,
0.621,4.7402,59811.9027615346,,,,
0.622,4.7402,59750.1490475443,,,,
0.623,4.7402,59687.8870725334,,,,
0.624,4.7402,59625.1168365021,,,,
0.625,4.7402,59561.8383394503,,,,
0.626,4.7402,59498.0515813779,,,,
0.627,4.7402,59433.7565622851,,,,
0.628,4.7402,59368.9532821718,,,,
0.629,4.7402,59303.641741038,,,,
0.63,4.7402,59237.8219388836,,,,
0.631,4.7402,59171.4938757089,,,,
0.632,4.7402,59104.6575515135,,,,
0.633,4.7402,59037.3129662977,,,,
0.634,4.7402,58969.4601200614,,,,
0.635,4.7402,58901.0990128046,,,,
0.636,4.7402,58832.2296445273,,,,
0.637,4.7402,58762.8520152296,,,,
0.638,4.7402,58692.9661249113,,,,
0.639,4.7402,58622.5719735725,,,,
0.64,4.7402,58551.6695612132,,,,
0.641,4.7402,58480.2588878334,,,,
0.642,4.7402,58408.3399534331,,,,
0.643,4.7402,58335.9127580124,,,,
0.644,4.7402,58262.9773015711,,,,
0.645,4.7402,58189.5335841093,,,,
0.646,4.7402,58115.5816056271,,,,
0.647,4.7402,58041.1213661243,,,,
0.648,4.7402,57966.1528656011,,,,
0.649,4.7402,57890.6761040573,,,,
0.65,4.7402,57814.691081493,,,,
0.651,4.7402,57738.1977979083,,,,
0.652,4.7402,57661.1962533031,,,,
0.653,4.7402,57583.6864476773,,,,
0.654,4.7402,57505.6683810311,,,,
0.655,4.7402,57427.1420533644,,,,
0.656,4.7402,57348.1074646771,,,,
0.657,4.7402,57268.5646149694,,,,
0.658,4.7402,57188.5135042412,,,,
0.659,4.7402,57107.9541324925,,,,
0.66,4.7402,57026.8864997233,,,,
0.661,4.7402,56945.3106059335,,,,
0.662,4.7402,56863.2264511233,,,,
